Pairs,SMILES - Molecule A,SMILES - Molecule B,YES %
1a,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,CCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C,46.88
2a,CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCC(O)C2=N1,CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCCC2=N1,93.75
3a,COC1=CC=CC=C1OCC(O)CO,COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1,14.06
4a,CCOC1=CC=CC=C1OCCN[C@H](C)CC1=CC(=C(OC)C=C1)S(N)(=O)=O,CC(C)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,3.13
5a,C[C@H](N)CC1=CC=CC=C1,CC(C)(N)CC1=CC=CC=C1,88.28
6a,C[C@H](NCCC1=CC=C(O)C=C1)[C@H](O)C1=CC=C(O)C=C1,OC(CC1=CN=CC=C1)(P(O)(O)=O)P(O)(O)=O,0.78
7a,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(I)C(=O)NC1=O,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(C(=O)NC1=O)C(F)(F)F,90.55
8a,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1,OC(=O)C1=C(NC2=CC=CC(=C2)C(F)(F)F)N=CC=C1,1.56
9a,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1,CC(C)NC[C@H](O)COC1=CC=C(NC(C)=O)C=C1,56.69
10a,CC[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1,C[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1,98.44
11a,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(C)=O)[C@@]3(C)CC[C@@H]2[C@@]2(C)CCC(=O)C=C12,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,96.09
12a,OC(CCN1CCCCC1)(C1CCCC1)C1=CC=CC=C1,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN1CC2CCCC2C1,0
13a,OC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,NC1=CC(C(O)=O)=C(O)C=C1,0.78
