,smiles,value
0,COC(=O)c1ccccc1C1CN=NC12Cc1cc3c(cc1C2=O)CCC3,0
1,CN(C)c1ccc(C=C(C#N)c2cccc(Cl)c2)cc1,0
2,CCOc1ccc(N=Cc2c3ccccc3nc3ccccc23)cc1,0
3,Clc1ccccc1CSc1cnnc2ccccc12,0
4,CCOC(=O)C1ON2OC(OC3CCCCC3c3ccccc3)CC3OC(=O)C1C32,0
5,CC12CCC3C(CCC4CC(CC=C(c5cc(Cl)c(O)c(C(=O)O)c5)c5cc(Cl)c(O)c(C(=O)O)c5)CCC43C)C1CCC2CC=C(c1cc(Cl)c(O)c(C(=O)O)c1)c1cc(Cl)c(O)c(C(=O)O)c1.N,1
6,COC1(OC)CCCc2c1no[n+]2[O-],0
7,CC(=NNC(N)=O)c1ccccc1,0
8,CC(=O)C1=C(C)N2C(=NC3=C(CCc4ccccc43)C2c2ccc(Cl)cc2)S1,0
9,O=C(CCN1CCCCC1)c1cc2cc([N+](=O)[O-])ccc2oc1=O,0
10,C[n+]1c(-c2ccc(C=NNc3n[nH]c(=S)n3NN=Cc3ccc(-c4cn5ccccc5[n+]4C)cc3)cc2)cn2ccccc21.[Br-],1
11,Cc1ccc(S(=O)(=O)NCCCSCCN)cc1,0
12,CCOC(=O)C1CC(O)CN1C(=O)c1ccc2c(c1)OCCO2,0
13,COCC(=O)OC1CCn2c1nc1c2C(=O)C(C)=C(NC(C)=O)C1=N,0
14,c1ccc2c(c1)c1ccccc1n2-n1c2ccccc2c2ccccc21,0
15,O=C(CC1CCCN2CCCCC12)N1c2ccccc2Sc2ccc(Cl)cc21,0
16,CCOP(=O)(OCC)C(C#N)=Cc1cccc(C)c1,0
17,Cc1ccc(CCC(=O)C(=O)O)s1,0
18,O=C(CCl)N1CCN(C(c2ccccc2)c2ccccc2)CC1,0
19,Cc1cccc2c1CC1(C2)Cc2c(C)cccc2C1=O,0
20,CCOP(=O)(Nc1ccc(-c2ccccc2)cc1)OCC,0
21,O=C1C(=Cc2ccc(Cl)cc2)CNCC1=Cc1ccc(Cl)cc1,0
22,CCOC(=O)CC(=O)Cc1oc2c(C(C)=O)c(O)c(C)c(O)c2c1C,0
23,CCOC(=O)C(=Cc1c(C)[nH]c2ccccc12)P(=O)(OCC)OCC,1
24,CCOC1NC(=O)c2ccccc21,0
25,CC1(C)CC(=O)C(CC2C(=O)CC(C)(C)CC2=O)C(=O)C1,0
26,CC(=S)NC=C(C(N)=O)C(N)=O,0
27,c1ccc(Cn2cc[n+]3c2[Au-][n+]2ccn(Cc4ccccc4)c2[Au-][n+]2ccn(Cc4ccccc4)c2[Au-]3)cc1,0
28,Cc1ccc(S(=O)(=O)N(CC(=O)O)c2ccccc2)cc1,0
29,COC(=O)C1CC2(C3C=CN(C(=O)C(F)(F)F)C=C3)c3ccccc3N(C(=O)C(F)(F)F)C2N1C(=O)OC,0
30,CCOc1ccc2nc(NC(=O)C(=O)C(C(=O)c3ccccc3F)C3OC(=O)c4ccccc43)sc2c1,0
31,Cc1cc(Br)cc(C)c1NC(=O)C(=O)C(C(=O)c1ccc2ccccc2c1)C1OC(=O)c2ccccc21,0
32,C(=NNc1ccccc1)c1nc2ccccc2nc1C=NNc1ccccc1,0
33,Cc1cc(S(=O)(=O)Nc2nc(N)nc(N(C)C)n2)c(S)cc1Cl,1
34,Oc1ccccc1-c1nnc2n1N=C(c1ccc(-c3ccccc3)cc1)CS2,0
35,CC1(C)CC(O)C(O)C23C(=O)OC(O)C2C(C=O)=CCC13,0
36,CC(CN1CCCCC1)SSC(C)CN1CCCCC1,0
